6500,109.4,1,90,ZERO-B
12000,34.3,1,90,SUSCEPTIBILITY EPI
22,6,1,20,Sag SPGR
6500,109.4,1,90,FA (color)
6500,109.4,1,90,FA
6500,109.4,1,90,EXP
6500,109.4,1,90,DWI
150,1.388,1,70,Calibration Scan
6066.67,112.48,12,90,AX T2
10002,130.364,1,90,AX FLAIR
6500,109.4,1,90,Ax DIFF Pedi
6500,109.4,1,90,ADC
6500,98.7,1,90,ZERO-B
12000,36.8,1,90,SUSCEPTIBILITY EPI
650,12.736,2,90,SAG T1
31,4,1,30,SAG SPGR
25,3.3,1,20,PJN
25,3.3,1,20,PJN
25,3.3,1,20,PJN
25,3.3,1,20,PJN
25,3.3,1,20,PJN
25,3.3,1,20,PJN
6500,98.7,1,90,FA (color)
6500,98.7,1,90,FA
6500,98.7,1,90,EXP
6500,98.7,1,90,DWI
150,1.372,1,70,Calibration Scan
5666.67,111.52,12,90,AX T2
10002,128.984,1,90,AX FLAIR
6500,98.7,1,90,Ax DIFF Pedi
6.798,2.5,1,65,Ax 3D FIESTA Hi Res
6500,98.7,1,90,ADC
25,3.3,1,20,3DTOF (CHECK RAMP PULSE)
6500,104.3,1,90,ZERO-B
12000,29.4,1,90,SUSCEPTIBILITY EPI
650,12.72,2,90,SAG T1
6500,104.3,1,90,FA (color)
6500,104.3,1,90,FA
6500,104.3,1,90,EXP
6500,104.3,1,90,DWI
150,1.372,1,70,Calibration Scan
6016.67,111.552,12,90,AX T2
10002,128.8,1,90,AX FLAIR
6500,104.3,1,90,Ax DIFF Pedi
6500,104.3,1,90,ADC
6500,100.5,1,90,ZERO-B
12000,31.3,1,90,SUSCEPTIBILITY EPI
650,12.736,2,90,SAG T1
6500,100.5,1,90,FA (color)
6500,100.5,1,90,FA
6500,100.5,1,90,EXP
6500,100.5,1,90,DWI
150,1.372,1,70,Calibration Scan
4250,111.552,12,90,AX T2
10002,122.636,1,90,AX FLAIR
6500,100.5,1,90,Ax DIFF Pedi
6500,100.5,1,90,ADC
6500,101,1,90,ZERO-B
12000,33.6,1,90,SUSCEPTIBILITY EPI
566.668,12.72,2,90,SAG T1
22,6,1,20,Sag SPGR
6500,101,1,90,FA (color)
6500,101,1,90,FA
6500,101,1,90,EXP
6500,101,1,90,DWI
6383.34,111.648,12,90,AX T2
10002,124.908,1,90,AX FLAIR
6500,101,1,90,Ax DIFF Pedi
6500,101,1,90,ADC
6500,113.2,1,90,ZERO-B
12000,31.7,1,90,SUSCEPTIBILITY EPI
550,12.92,2,90,SAG T1
6500,113.2,1,90,FA (color)
6500,113.2,1,90,FA
6500,113.2,1,90,EXP
6500,113.2,1,90,DWI
150,1.388,1,70,Calibration Scan
6083.34,112.768,12,90,AX T2
10002,120.456,1,90,AX FLAIR
6500,113.2,1,90,Ax DIFF Pedi
6500,113.2,1,90,ADC
6500,108.8,1,90,ZERO-B
12000,35.1,1,90,SUSCEPTIBILITY EPI
616.668,12.912,2,90,SAG T1
616.668,12.912,2,90,SAG T1
6500,108.8,1,90,FA (color)
6500,108.8,1,90,FA
6500,108.8,1,90,EXP
6500,108.8,1,90,DWI
150,1.388,1,70,Calibration Scan
6066.67,112.512,12,90,AX T2
10002,131.284,1,90,AX FLAIR
6500,108.8,1,90,Ax DIFF Pedi
6500,108.8,1,90,ADC
6500,100.8,1,90,ZERO-B
12000,30.3,1,90,SUSCEPTIBILITY EPI
533.336,12.704,2,90,SAG T1
6500,100.8,1,90,FA (color)
6500,100.8,1,90,FA
6500,100.8,1,90,EXP
6500,100.8,1,90,DWI
150,1.372,1,70,Calibration Scan
5666.67,111.648,12,90,AX T2
5666.67,111.648,12,90,AX T2
10002,127.788,1,90,AX FLAIR
6500,100.8,1,90,Ax DIFF Pedi
6.745,2.488,1,65,Ax 3D FIESTA Hi Res
6500,100.8,1,90,ADC
6500,103.3,1,90,ZERO-B
550,12.912,2,90,SAG T1
6500,103.3,1,90,FA (color)
6500,103.3,1,90,FA
6500,103.3,1,90,EXP
6500,103.3,1,90,DWI
150,1.388,1,70,Calibration Scan
6050,112.352,12,90,AX T2
10002,122.64,1,90,AX FLAIR
5000,20,2,40,Ax EPI Susceptibility
6500,103.3,1,90,Ax DIFF Pedi
6.739,2.488,1,65,Ax 3D FIESTA Hi Res
6500,103.3,1,90,ADC
6500,105.5,1,90,ZERO-B
600,12.696,2,90,SAG T1
6500,105.5,1,90,FA (color)
6500,105.5,1,90,FA
6500,105.5,1,90,EXP
6500,105.5,1,90,DWI
150,1.372,1,70,Calibration Scan
5666.67,111.744,12,90,AX T2
10002,129.628,1,90,AX FLAIR
6500,105.5,1,90,Ax DIFF Pedi
6500,105.5,1,90,ADC
6500,99.6,1,90,ZERO-B
716.668,12.72,2,90,SAG T1
716.668,12.72,2,90,SAG T1
6500,99.6,1,90,FA (color)
6500,99.6,1,90,FA
6500,99.6,1,90,EXP
6500,99.6,1,90,DWI
150,1.372,1,70,Calibration Scan
7083.34,111.648,12,90,AX T2
10002,124.908,1,90,AX FLAIR
5000,20,2,40,Ax EPI Susceptibility
6500,99.6,1,90,Ax DIFF Pedi
6500,99.6,1,90,ADC
6500,102.5,1,90,ZERO-B
600,12.696,2,90,SAG T1
6500,102.5,1,90,DWI
150,1.372,1,70,Calibration Scan
7083.34,111.648,12,90,AX T2
10002,124.908,1,90,AX FLAIR
6500,102.5,1,90,Ax DIFF Pedi
6500,101.7,1,90,ZERO-B
566.668,12.72,2,90,SAG T1
6500,101.7,1,90,FA (color)
6500,101.7,1,90,FA
6500,101.7,1,90,EXP
6500,101.7,1,90,DWI
150,1.372,1,70,Calibration Scan
6033.34,111.68,12,90,AX T2
10002,128.156,1,90,AX FLAIR
6500,101.7,1,90,Ax DIFF Pedi
6500,101.7,1,90,ADC
10000,101.6,1,90,ZERO-B
24,7,1,20,Sag SPGR
10000,101.6,1,90,FA (color)
10000,101.6,1,90,FA
10000,101.6,1,90,EXP
10000,101.6,1,90,DWI
150,1.372,1,70,Calibration Scan
3100,14.168,8,90,Ax T2/PD
600,20,1,90,Ax T1 Pre
616.668,20,1,90,Ax T1 Post
616.668,20,1,90,Ax Subtracted (7-6)
10000,101.6,1,90,Ax Iso Diffusion
9002,135.656,1,90,Ax FLAIR T2 Post
10000,101.6,1,90,ADC
6500,101.3,1,90,ZERO-B
533.336,12.768,2,90,SAG T1
6.488,2.46,1,65,SAG 3D FIESTA Hi Res
6500,101.3,1,90,FA (color)
6500,101.3,1,90,FA
6500,101.3,1,90,EXP
6500,101.3,1,90,DWI
150,1.372,1,70,Calibration Scan
6383.34,111.552,12,90,AX T2
10002,128.708,1,90,AX FLAIR
5000,20,2,40,Ax EPI Susceptibility
6500,101.3,1,90,Ax DIFF (12 Directions)
6500,101.3,1,90,ADC
,,,,3D COR
,,,,3D AXIAL
5000,101.7,1,90,ZERO-B
500,13,1,90,t1 sag
483.336,12.888,2,90,Sagittal T1 post gd F/S
4000,100.032,12,90,SAG FSE T2
5000,101.7,1,90,FA (color)
5000,101.7,1,90,FA
5000,101.7,1,90,EXP
5000,101.7,1,90,DWI
400,14,1,90,COR T1 PRE
633.336,14,1,90,COR T1 POST F/S
633.336,14,1,90,Cor Subtracted (9-7)
150,1.508,1,70,Calibration Scan
10002,128.892,1,90,axial flair
4116.67,94.4,12,90,AX T2
550,20,1,90,Ax T1 POST WHOLE BRAIN
5000,101.7,1,90,Ax DIFF
5000,101.7,1,90,ADC
5000,110.4,1,90,ZERO-B
500,14,1,90,t1 sag
400,18,1,90,Sag T1 Post F/S Sella
5000,110.4,1,90,FA (color)
5000,110.4,1,90,FA
5000,110.4,1,90,EXP
5000,110.4,1,90,DWI
4800,94.24,12,90,Cor T2 Thin Sella
450,20,1,90,Cor T1 Pre Sella
550,20,1,90,Cor T1 Post F/S Sella
150,1.564,1,70,Calibration Scan
10002,131.008,1,90,axial flair
4616.67,100.56,12,90,AX T2
5000,110.4,1,90,Ax DIFF
5000,110.4,1,90,ADC
6500,103.9,1,90,ZERO-B
566.668,12.72,2,90,SAG T1
6500,103.9,1,90,FA (color)
6500,103.9,1,90,FA
6500,103.9,1,90,EXP
6500,103.9,1,90,DWI
150,1.372,1,70,Calibration Scan
7083.34,111.648,12,90,AX T2
10002,124.908,1,90,AX FLAIR
6500,103.9,1,90,Ax DIFF Pedi
6500,103.9,1,90,ADC
6500,103.5,1,90,ZERO-B
533.336,12.712,2,90,SAG T1
6500,103.5,1,90,FA (color)
6500,103.5,1,90,FA
6500,103.5,1,90,EXP
6500,103.5,1,90,DWI
6000,111.264,12,90,AX T2
6000,111.264,12,90,AX T2
10002,123.556,1,90,AX FLAIR
6500,103.5,1,90,Ax DIFF Pedi
6500,103.5,1,90,ADC
6500,98.9,1,90,ZERO-B
650,12.72,2,90,SAG T1
6500,98.9,1,90,FA (color)
6500,98.9,1,90,FA
6500,98.9,1,90,EXP
6500,98.9,1,90,DWI
150,1.372,1,70,Calibration Scan
7083.34,111.648,12,90,AX T2
10002,124.74,1,90,AX FLAIR
6500,98.9,1,90,Ax DIFF Pedi
6500,98.9,1,90,ADC
5000,102.7,1,90,ZERO-B
550,12.976,2,90,SAG T1
5.936,1.544,1,65,SAG 3D FIESTA Hi Res
5000,102.7,1,90,FA (color)
5000,102.7,1,90,FA
5000,102.7,1,90,EXP
5000,20,2,40,EPI SUSCEPTIBILITY
5000,102.7,1,90,DWI
5000,102.7,1,90,DIFFUSION
150,1.404,1,70,Calibration
4000,103.14,12,90,AX T2 FSE
10002,129.696,1,90,AX FLAIR
5000,102.7,1,90,ADC
32,8,1,25,3D SPGR CORONAL
5000,99.1,1,90,ZERO-B
400,10,1,90,Sag T1
22,6,1,20,Sag SPGR
6000,25,2,40,O-SUSCEPTIBILITY EPI
5.536,1.692,1,30,Localizer
5000,99.1,1,90,FA (color)
5000,99.1,1,90,FA
5000,99.1,1,90,EXP
5000,99.1,1,90,DWI
5183.34,101.32,6,90,Cor T2 through hippocampi
150,1.372,1,70,Calibration Scan
3300,92.68,12,90,Ax T2
10002,143.22,1,90,Ax FLAIR T2
5000,99.1,1,90,Ax DIFF
5000,99.1,1,90,ADC
5000,95.1,1,90,ZERO-B
700,12.52,2,90,SAG T1 REPEAT
700,12.648,2,90,SAG T1
5000,95.1,1,90,FA (color)
5000,95.1,1,90,FA
5000,95.1,1,90,EXP
5000,20,2,40,EPI SUSCEPTIBILITY
5000,95.1,1,90,DWI
5000,95.1,1,90,DIFFUSION
150,1.404,1,70,Calibration
3716.66,97.24,12,90,AX T2 FSE
10002,128.1,1,90,AX FLAIR
5000,95.1,1,90,ADC
32,8,1,25,3D SPGR CORONAL
5000,103.7,1,90,ZERO-B
450,18,1,90,Sag T1 Post F/S Sella
466.668,14,1,90,Sag T1
5.536,1.692,1,30,Localizer
5000,103.7,1,90,FA (color)
5000,103.7,1,90,FA
5000,103.7,1,90,EXP
5000,103.7,1,90,DWI
5000,105.072,12,90,Cor T2 Thin Sella
450,20,1,90,Cor T1 Pre Sella
450,20,1,90,Cor T1 Post F/S Sella
150,1.372,1,70,Calibration Scan
6000,110.976,12,90,Ax T2
10002,145.464,1,90,Ax FLAIR T2
5000,103.7,1,90,Ax DIFF
5000,103.7,1,90,ADC
5000,101.1,1,90,ZERO-B
550,14,1,90,t1 sag
5000,20,2,40,O-EPI SUSCEPTIBILITY
5000,101.1,1,90,FA (color)
5000,101.1,1,90,FA
5000,101.1,1,90,EXP
5000,101.1,1,90,DWI
5000,101.1,1,90,DIFFUSION
150,1.404,1,70,Calibration
6866.66,102.64,12,90,Axial FSE T2
10002,124.416,1,90,axial flair
5000,101.1,1,90,ADC
30,3,1,35,3D SPGR CORONAL
5000,95,1,90,ZERO-B
400,8,1,90,t1 sag
5000,20,2,40,O-EPI SUSCEPTIBILITY
5000,20,2,40,O-EPI SUSCEPTIBILITY
5000,95,1,90,FA (color)
5000,95,1,90,FA
5000,95,1,90,EXP
5000,95,1,90,DWI
5000,95,1,90,DIFFUSION
150,1.484,1,70,Calibration
3800,102.96,12,90,Axial FSE T2
10002,123.444,1,90,axial flair
10002,123.444,1,90,axial flair
6.412,1.636,1,65,AX 3D FIESTA Hi Res
5000,95,1,90,ADC
32,8,1,25,3D SPGR CORONAL
5000,99.8,1,90,ZERO-B
500,14,1,90,t1 sag
28,3.6,1,20,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
5000,20,2,40,O-EPI SUSCEPTIBILITY
5000,99.8,1,90,FA (color)
5000,99.8,1,90,FA
5000,99.8,1,90,EXP
5000,99.8,1,90,DWI
5000,99.8,1,90,DIFFUSION
150,1.484,1,70,Calibration
6500,103.04,12,90,Axial FSE T2
10002,123.876,1,90,axial flair
5000,99.8,1,90,ADC
28,3.6,1,20,3DTOF (CHECK RAMP PULSE)
30,3,1,35,3D SPGR CORONAL
5000,102.9,1,90,ZERO-B
700,12.896,2,90,SAG T1
5000,102.9,1,90,FA (color)
5000,102.9,1,90,FA
5000,102.9,1,90,EXP
5000,20,2,40,EPI SUSCEPTIBILITY
5000,102.9,1,90,DWI
5000,102.9,1,90,DIFFUSION
150,1.484,1,70,Calibration
10002,124.632,1,90,axial flair
5116.66,103.14,12,90,AX T2 FSE
5000,102.9,1,90,ADC
30,3,1,35,3D SPGR CORONAL
5000,105.8,1,90,ZERO-B
,,,,Screen Save
400,10,1,90,Sag T1
6000,25,2,40,O-SUSCEPTIBILITY EPI
5.536,1.692,1,30,Localizer
5000,105.8,1,90,FA (color)
5000,105.8,1,90,FA
5000,105.8,1,90,EXP
5000,105.8,1,90,DWI
150,1.372,1,70,Calibration Scan
6000,110.928,12,90,Ax T2
10002,145.464,1,90,Ax FLAIR T2
5000,105.8,1,90,Ax DIFF
5000,105.8,1,90,ADC
5.536,1.628,1,30,3p loc
5000,94.4,1,90,ZERO-B
450,14,1,90,SAG T1
5000,94.4,1,90,FA (color)
5000,94.4,1,90,FA
5000,94.4,1,90,EXP
5000,20,2,40,EPI SUSCEPTIBILITY
5000,94.4,1,90,DWI
5000,94.4,1,90,DIFFUSION B1000
150,1.404,1,70,Calibration
6000,94.4,12,90,AX T2
10002,126.588,1,90,AX FLAIR
5000,94.4,1,90,ADC
32,8,1,25,3D SPGR CORONAL
6500,98.6,1,90,ZERO-B
,,,,Screen Save
566.668,12.696,2,90,SAG T1
1500,35,1,90,O-Spect single voxel TE=144
1500,35,1,90,O-Spect single voxel TE=144
6500,98.6,1,90,FA (color)
6500,98.6,1,90,FA
6500,98.6,1,90,EXP
6500,98.6,1,90,DWI
150,1.372,1,70,Calibration Scan
7050,111.36,12,90,AX T2
10002,120.624,1,90,AX FLAIR
6500,98.6,1,90,Ax DIFF Pedi
6.798,2.5,1,65,Ax 3D FIESTA Hi Res
6500,98.6,1,90,ADC
5000,95,1,90,ZERO-B
366.664,14,1,90,t1 sag
750,25,1,20,O-SUSCEPTIBILITY(optional)
5000,95,1,90,FA (color)
5000,95,1,90,FA
5000,95,1,90,EXP
5000,20,2,40,EPI SUSCEPTIBILITY
5000,95,1,90,DWI
5000,95,1,90,DIFFUSION
150,1.404,1,70,Calibration
6500,102.8,12,90,Axial FSE T2
10002,123.228,1,90,axial flair
5000,95,1,90,ADC
32,8,1,25,3D SPGR CORONAL
6500,114.3,1,90,ZERO-B
12000,37.7,1,90,SUSCEPTIBILITY EPI
616.668,12.888,2,90,SAG T1
6500,114.3,1,90,FA (color)
6500,114.3,1,90,FA
6500,114.3,1,90,EXP
6500,114.3,1,90,DWI
150,1.388,1,70,Calibration Scan
6450,112.8,12,90,AX T2
10002,120.54,1,90,AX FLAIR
6500,114.3,1,90,Ax DIFF Pedi
6500,114.3,1,90,ADC
5000,97.9,1,90,ZERO-B
400,12.88,2,90,SAG T1
5000,97.9,1,90,FA (color)
5000,97.9,1,90,FA
5000,97.9,1,90,EXP
5000,20,2,40,EPI SUSCEPTIBILITY
5000,97.9,1,90,DWI
5000,97.9,1,90,DIFFUSION
150,1.404,1,70,Calibration
5300,103.38,12,90,AX T2 FSE
10002,126.588,1,90,AX FLAIR
5000,97.9,1,90,ADC
30,3,1,35,3D SPGR CORONAL
5000,105.2,1,90,ZERO-B
450,20,1,90,T1 Sag POST
416.664,9,1,90,SAG  T1
30,4.9,1,60,PJN
30,4.9,1,60,PJN
30,4.9,1,60,PJN
30,4.9,1,60,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
28,3.6,1,20,PJN
5000,105.2,1,90,FA (color)
5000,105.2,1,90,FA
5000,105.2,1,90,EXP
5000,105.2,1,90,DWI
5000,105.2,1,90,DIFFUSION
500,20,1,90,Coronal  T1  post gd
30,4.9,1,60,COR 2DTOF MRV
150,1.404,1,70,Calibration
450,21,1,90,axial t1 post gd
450,21,1,90,axial t1 post gd
6500,102.64,12,90,Axial FSE T2
10002,125.928,1,90,axial flair
450,14,1,90,Axial  T1
5000,105.2,1,90,ADC
28,3.6,1,20,3DTOF (CHECK RAMP PULSE)
5000,94.8,1,90,ZERO-B
400,8,1,90,t1 sag
600,14,1,90,SAG T1
5000,94.8,1,90,FA (color)
5000,94.8,1,90,FA
5000,94.8,1,90,EXP
5000,20,2,40,EPI SUSCEPTIBILITY
5000,94.8,1,90,DWI
5000,94.8,1,90,DIFFUSION
150,1.404,1,70,Calibration
4416.66,97.6,12,90,AX T2 FSE
10002,126.588,1,90,AX FLAIR
5000,94.8,1,90,ADC
30,3,1,35,3D SPGR CORONAL
800,25,1,20,0-SUSCEPTIBILITY
5000,88.8,1,90,ZERO-B
5000,94.8,1,90,ZERO-B
400,8,1,90,t1 sag
5000,88.8,1,90,FA (color)
5000,94.8,1,90,FA (color)
5000,88.8,1,90,FA
5000,94.8,1,90,FA
5000,88.8,1,90,EXP
5000,94.8,1,90,EXP
5000,88.8,1,90,DWI
5000,94.8,1,90,DWI
5000,88.8,1,90,DIFFUSION B700
5000,94.8,1,90,DIFFUSION
6000,97.56,12,90,Axial FSE T2
10002,126.9,1,90,axial flair
550,14,1,90,AX T1
5000,88.8,1,90,ADC
5000,94.8,1,90,ADC
32,8,1,25,3D SPGR CORONAL
5000,102.5,1,90,ZERO-B
5000,109.5,1,90,ZERO-B
550,14,0,90,SAG T1
5000,109.5,1,90,FA (color)
5000,102.5,1,90,FA (color)
5000,109.5,1,90,FA
5000,102.5,1,90,FA
5000,102.5,1,90,EXP
5000,109.5,1,90,EXP
5000,102.5,1,90,DWI
5000,109.5,1,90,DWI
5000,102.5,1,90,DIFFUSION B700
5000,109.5,1,90,DIFFUSION B1000
10002,131.376,0,90,CORONAL flair
6000,108.136,12,90,COR FSE T2(GENERALIZED-SEIZUR
10002,130.1,0,90,axial flair
4000,102.96,12,90,AX T2 FSE
5000,102.5,1,90,ADC
5000,109.5,1,90,ADC
32,8,0,25,3D SPGR CORONAL
5000,104.7,1,90,ZERO-B
5000,98.2,1,90,ZERO-B
416.664,9,0,90,t1 sag
5000,104.7,1,90,FA (color)
5000,98.2,1,90,FA (color)
5000,104.7,1,90,FA
5000,98.2,1,90,FA
5000,104.7,1,90,EXP
5000,98.2,1,90,EXP
5000,104.7,1,90,DWI
5000,98.2,1,90,DWI
5000,98.2,1,90,DIFFUSION B700
5000,104.7,1,90,DIFFUSION B1000
6150,108.288,12,90,Axial FSE T2
10002,124.848,0,90,axial flair
450,14,0,90,Axial  T1
5000,104.7,1,90,ADC
5000,98.2,1,90,ADC
32,8,0,25,3D SPGR CORONAL
5000,99,1,90,ZERO-B
416.664,9,0,90,t1 sag
5000,99,1,90,FA (color)
5000,99,1,90,FA
5000,99,1,90,EXP
5000,99,1,90,DWI
5000,99,1,90,DIFFUSION
3500,99.2,12,90,Axial FSE T2
10002,124.584,0,90,axial flair
10002,124.584,0,90,axial flair
5000,99,1,90,ADC
5000,99,1,90,ZERO-B
450,9,0,90,t1 sag
450,25,0,20,O-Susceptiblity
5000,99,1,90,FA (color)
5000,99,1,90,FA
5000,99,1,90,EXP
5000,99,1,90,DWI
5000,99,1,90,DIFFUSION
6000,101.136,12,90,Axial FSE T2
10002,120.4,0,90,axial flair
450,14,0,90,Axial  T1
5000,99,1,90,ADC
32,8,0,25,3D SPGR CORONAL
5000,93.1,1,90,ZERO-B
5000,99,1,90,ZERO-B
400,8,0,90,t1 sag
36,6.3,0,25,PJN
36,6.3,0,25,PJN
36,6.3,0,25,PJN
36,6.3,0,25,PJN
36,6.3,0,25,PJN
36,6.3,0,25,PJN
5000,93.1,1,90,FA (color)
5000,99,1,90,FA (color)
5000,93.1,1,90,FA
5000,99,1,90,FA
5000,93.1,1,90,EXP
5000,99,1,90,EXP
5000,93.1,1,90,DWI
5000,99,1,90,DWI
5000,93.1,1,90,DIFFUSION B700
5000,99,1,90,DIFFUSION
6000,97.08,12,90,Axial FSE T2
10002,120.4,0,90,axial flair
500,14,0,90,AX T1
5000,93.1,1,90,ADC
5000,99,1,90,ADC
36,6.3,0,25,3DTOF Cover PICA (CHECK RAMP
32,8,0,25,3D SPGR CORONAL
5000,99,1,90,ZERO-B
400,8,0,90,t1 sag
5000,99,1,90,FA (color)
5000,99,1,90,FA
5000,99,1,90,EXP
5000,99,1,90,DWI
5000,99,1,90,DIFFUSION
6000,93.12,12,90,Axial FSE T2
10002,120.5,0,90,axial flair
5000,99,1,90,ADC
30,3,0,35,3D SPGR CORONAL
5000,99,1,90,ZERO-B
400,8,0,90,t1 sag
5000,99,1,90,FA (color)
5000,99,1,90,FA
5000,99,1,90,EXP
5000,99,1,90,DWI
5000,99,1,90,DIFFUSION
6000,97.16,12,90,Axial FSE T2
10002,120.4,0,90,axial flair
500,14,0,90,AX T1
5000,99,1,90,ADC
32,8,0,25,3D SPGR CORONAL
5000,110.2,1,90,ZERO-B
5000,102.8,1,90,ZERO-B
550,14,1,90,SAG T1
750,25,1,20,O-Susceptiblity
5000,110.2,1,90,FA (color)
5000,102.8,1,90,FA (color)
5000,110.2,1,90,FA
5000,102.8,1,90,FA
5000,110.2,1,90,EXP
5000,102.8,1,90,EXP
5000,110.2,1,90,DWI
5000,102.8,1,90,DWI
5000,102.8,1,90,DIFFUSION B700
5000,110.2,1,90,DIFFUSION B1000
6000,103.416,12,90,AX T2 FSE
400,14,1,90,AX T1
10002,120.612,1,90,AX FLAIR
5000,110.2,1,90,ADC
5000,102.8,1,90,ADC
32,8,1,25,3D SPGR CORONAL
5000,99,1,90,ZERO-B
5000,93.1,1,90,ZERO-B
600,14,0,90,SAG T1
10002,127.696,0,90,O-COR flair-OPTIONAL
5000,99,1,90,FA (color)
5000,93.1,1,90,FA (color)
5000,99,1,90,FA
5000,93.1,1,90,FA
5000,99,1,90,EXP
5000,93.1,1,90,EXP
5000,99,1,90,DWI
5000,93.1,1,90,DWI
5000,93.1,1,90,DIFFUSION B700
5000,99,1,90,DIFFUSION B1000
6450,97.296,12,90,AX T2 FSE
550,14,0,90,AX T1
10002,126.588,0,90,AX FLAIR
5000,99,1,90,ADC
5000,93.1,1,90,ADC
32,8,0,25,3D SPGR CORONAL
5000,99.6,1,90,ZERO-B
